Scenario,Point,GHG_eps,N_eps,NAC_MUSD_per_yr,GHG_tCO2e_per_yr,EP_marine_tpy,Status,Quality,Config,pct_HTL,pct_AND,pct_SLF,pct_CMP,pct_WWT,pct_INC,pct_HTLrec_CEN,pct_HTLrec_FLT,pct_GasUpg_ABS,pct_GasUpg_PSA
Household,g1,180.0,0.9,7.8418,180.0,0.9,ModelStatus.OptimalGlobal,Optimal,Conv: AND 55.0% / WWT 20.0% / HTL 25.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,25.0,55.0,0.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
Restaurant,g5,730.0,3.5,7.4301,725.5341,3.3891,ModelStatus.OptimalGlobal,Optimal,Conv: AND 22.5% / WWT 5.0% / SLF 20.0% / INC 7.5% / CMP 3.8% / HTL 41.2% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,41.2,22.5,20.0,3.8,5.0,7.5,100.0,0.0,100.0,0.0
Restaurant,g6,730.0,5.6,6.5613,710.9034,5.0729,ModelStatus.OptimalGlobal,Optimal,Conv: AND 17.5% / SLF 22.5% / INC 15.0% / CMP 7.5% / HTL 37.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,37.5,17.5,22.5,7.5,0.0,15.0,100.0,0.0,100.0,0.0
Restaurant,g7,1200.0,1.4,7.2269,1149.24,1.4,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 40.0% / HTL 60.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,60.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Restaurant,g8,1200.0,3.5,6.3429,1168.416,3.2572,ModelStatus.Integer,Feasible—not proven optimal,Conv: SLF 42.5% / INC 15.0% / HTL 42.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,42.5,0.0,42.5,0.0,0.0,15.0,100.0,0.0,0.0,0.0
Restaurant,g9,1200.0,5.6,5.3446,1096.7515,5.1029,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 45.0% / INC 30.0% / HTL 25.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,25.0,0.0,45.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0
Institutional,g1,310.0,1.6,10.5129,310.0,1.6,ModelStatus.OptimalGlobal,Optimal,Conv: AND 55.0% / WWT 20.0% / HTL 25.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,25.0,55.0,0.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
Institutional,g2,310.0,3.85,9.6644,310.0,3.6019,ModelStatus.OptimalGlobal,Optimal,Conv: AND 50.0% / WWT 10.0% / CMP 7.5% / HTL 32.5% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,32.5,50.0,0.0,7.5,10.0,0.0,100.0,0.0,100.0,0.0
Institutional,g3,310.0,6.1,8.6984,310.0,5.8196,ModelStatus.OptimalGlobal,Optimal,Conv: AND 45.0% / CMP 15.0% / HTL 40.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,40.0,45.0,0.0,15.0,0.0,0.0,100.0,0.0,100.0,0.0
Institutional,g4,830.0,1.6,9.0798,769.107,1.6,ModelStatus.OptimalGlobal,Optimal,Conv: AND 27.5% / WWT 10.0% / SLF 17.5% / HTL 45.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,45.0,27.5,17.5,0.0,10.0,0.0,100.0,0.0,100.0,0.0
Institutional,g5,830.0,3.85,8.1273,755.6751,3.5495,ModelStatus.OptimalGlobal,Optimal,Conv: AND 22.5% / WWT 5.0% / SLF 20.0% / INC 7.5% / CMP 3.8% / HTL 41.2% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,41.2,22.5,20.0,3.8,5.0,7.5,100.0,0.0,100.0,0.0
Institutional,g6,830.0,6.1,7.4776,784.9285,5.4679,ModelStatus.OptimalGlobal,Optimal,Conv: AND 17.5% / SLF 22.5% / INC 15.0% / CMP 7.5% / HTL 37.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,37.5,17.5,22.5,7.5,0.0,15.0,100.0,0.0,100.0,0.0
Institutional,g7,1350.0,1.6,7.9688,1276.5418,1.6,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 40.0% / HTL 60.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,60.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Institutional,g8,1350.0,3.85,6.8134,1306.4326,3.7426,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 42.5% / INC 15.0% / HTL 42.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,42.5,0.0,42.5,0.0,0.0,15.0,100.0,0.0,0.0,0.0
Institutional,g9,1350.0,6.1,6.03,1293.99,5.5003,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 45.0% / INC 30.0% / HTL 25.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,25.0,0.0,45.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0
Retail,g1,340.0,1.8,11.1861,340.0,1.8,ModelStatus.OptimalGlobal,Optimal,Conv: AND 55.0% / WWT 20.0% / HTL 25.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,25.0,55.0,0.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
Retail,g2,340.0,4.3,10.1402,340.0,4.2672,ModelStatus.OptimalGlobal,Optimal,Conv: AND 50.0% / WWT 10.0% / CMP 7.5% / HTL 32.5% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,32.5,50.0,0.0,7.5,10.0,0.0,100.0,0.0,100.0,0.0
Retail,g3,340.0,6.8,9.0195,340.0,6.5067,ModelStatus.OptimalGlobal,Optimal,Conv: AND 45.0% / CMP 15.0% / HTL 40.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,40.0,45.0,0.0,15.0,0.0,0.0,100.0,0.0,100.0,0.0
Retail,g4,920.0,1.8,9.6888,879.926,1.8,ModelStatus.OptimalGlobal,Optimal,Conv: AND 27.5% / WWT 10.0% / SLF 17.5% / HTL 45.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,45.0,27.5,17.5,0.0,10.0,0.0,100.0,0.0,100.0,0.0
Retail,g5,920.0,4.3,8.4002,861.2016,3.9323,ModelStatus.OptimalGlobal,Optimal,Conv: AND 22.5% / WWT 5.0% / SLF 20.0% / INC 7.5% / CMP 3.8% / HTL 41.2% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,41.2,22.5,20.0,3.8,5.0,7.5,100.0,0.0,100.0,0.0
Retail,g6,920.0,6.8,7.6036,905.3549,6.2806,ModelStatus.Integer,Feasible—not proven optimal,Conv: AND 17.5% / SLF 22.5% / INC 15.0% / CMP 7.5% / HTL 37.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,37.5,17.5,22.5,7.5,0.0,15.0,100.0,0.0,100.0,0.0
Retail,g7,1500.0,1.8,8.1334,1490.7692,1.8,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 40.0% / HTL 60.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,60.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Retail,g8,1500.0,4.3,6.8308,1458.3448,4.2122,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 42.5% / INC 15.0% / HTL 42.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,42.5,0.0,42.5,0.0,0.0,15.0,100.0,0.0,0.0,0.0
Retail,g9,1500.0,6.8,5.8926,1421.6658,6.2488,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 45.0% / INC 30.0% / HTL 25.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,25.0,0.0,45.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0
Market,g1,150.0,2.4,6.8769,150.0,2.4,ModelStatus.OptimalGlobal,Optimal,Conv: AND 55.0% / WWT 20.0% / HTL 25.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,25.0,55.0,0.0,0.0,20.0,0.0,100.0,0.0,100.0,0.0
Market,g2,150.0,5.15,6.1103,150.0,5.148,ModelStatus.OptimalGlobal,Optimal,Conv: AND 50.0% / WWT 10.0% / CMP 7.5% / HTL 32.5% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,32.5,50.0,0.0,7.5,10.0,0.0,100.0,0.0,100.0,0.0
Market,g3,150.0,7.9,5.4814,150.0,7.1748,ModelStatus.OptimalGlobal,Optimal,Conv: AND 45.0% / CMP 15.0% / HTL 40.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,40.0,45.0,0.0,15.0,0.0,0.0,100.0,0.0,100.0,0.0
Market,g4,485.0,2.4,5.8014,464.3125,2.4,ModelStatus.OptimalGlobal,Optimal,Conv: AND 27.5% / WWT 10.0% / SLF 17.5% / HTL 45.0% | Bio=AER | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,45.0,27.5,17.5,0.0,10.0,0.0,100.0,0.0,100.0,0.0
Market,g5,485.0,5.15,5.0213,466.4629,4.8319,ModelStatus.OptimalGlobal,Optimal,Conv: AND 22.5% / WWT 5.0% / SLF 20.0% / INC 7.5% / CMP 3.8% / HTL 41.2% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,41.2,22.5,20.0,3.8,5.0,7.5,100.0,0.0,100.0,0.0
Market,g6,485.0,7.9,4.5579,438.3106,7.2714,ModelStatus.OptimalGlobal,Optimal,Conv: AND 17.5% / SLF 22.5% / INC 15.0% / CMP 7.5% / HTL 37.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: ABS 100.0% | STB=no,37.5,17.5,22.5,7.5,0.0,15.0,100.0,0.0,100.0,0.0
Market,g7,820.0,2.4,4.7143,732.7973,2.4,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 40.0% / HTL 60.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,60.0,0.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Market,g8,820.0,5.15,4.0918,798.3543,5.0706,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 42.5% / INC 15.0% / HTL 42.5% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,42.5,0.0,42.5,0.0,0.0,15.0,100.0,0.0,0.0,0.0
Market,g9,820.0,7.9,3.2791,762.8206,7.4245,ModelStatus.OptimalGlobal,Optimal,Conv: SLF 45.0% / INC 30.0% / HTL 25.0% | Bio=ENZ | Mech=SHR | HTLrec: CEN 100.0% | GasUpg: - | STB=no,25.0,0.0,45.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0
